genre_id,genre_name
0,Action
1,Adventure
2,Fantasy
3,Comedy
4,Family
5,Animation
6,Sci-Fi
7,Mystery
8,Thriller
9,Biography
10,Drama
11,Sport
12,Crime
13,Romance
14,Music
15,Musical
16,Horror
17,Documentary
18,History
19,War
20,News
21,Short
22,Western
