movie_id,person_id,role_id
1,0,0
1,1,1
1,0,1
1,2,1
1,3,2
1,4,2
1,5,2
3,6,0
3,7,0
3,8,0
3,9,1
3,6,1
3,10,2
3,11,2
3,12,2
8,13,0
8,13,1
8,14,2
8,15,2
8,16,2
12,17,0
12,18,1
12,19,2
12,20,2
12,21,2
24,22,0
24,23,1
24,24,1
24,12,2
24,25,2
24,26,2
30,27,0
30,27,1
30,28,2
30,29,2
30,30,2
33,31,0
33,31,1
33,32,1
33,33,2
33,34,2
33,35,2
39,36,0
39,36,1
39,37,2
39,38,2
39,39,2
