movie_id,genre_id
1,1
1,3
1,4
2,5
2,1
2,3
3,0
3,1
3,6
4,7
4,8
5,0
5,6
6,5
6,1
6,3
7,5
7,1
7,3
8,0
8,1
8,8
9,9
9,10
10,5
10,1
10,3
11,3
11,11
12,3
12,10
12,2
13,0
13,1
13,8
14,12
14,10
14,8
16,3
16,10
17,3
17,10
17,13
18,10
18,14
18,15
19,3
20,3
20,13
21,12
21,10
21,7
22,5
22,1
22,3
25,1
25,3
25,12
26,1
26,10
26,4
27,12
27,16
27,7
28,3
28,4
28,11
29,3
29,13
30,0
30,1
30,4
31,5
31,3
31,4
34,10
34,18
34,8
35,0
35,10
35,11
36,3
36,12
37,12
37,10
37,14
38,5
38,0
38,1
39,0
39,12
39,10
41,3
41,10
41,13
42,0
42,12
42,8
43,0
43,2
43,8
44,3
44,4
44,2
45,0
45,1
45,8
46,10
46,18
46,8
47,3
47,10
48,3
48,11
49,5
49,1
49,3
50,3
50,12
51,1
51,10
51,8
52,9
52,10
52,18
54,16
54,8
55,10
55,7
55,6
56,0
56,1
56,10
58,3
58,13
59,16
59,8
62,16
62,7
63,10
63,11
64,9
64,10
64,11
65,10
65,2
65,7
66,16
66,8
67,3
67,13
68,3
68,10
68,2
69,10
69,2
69,7
70,16
70,8
71,16
71,8
72,9
72,12
72,10
74,10
74,2
74,19
75,1
75,10
75,4
76,3
76,10
76,13
77,5
77,1
77,3
78,0
78,10
78,8
79,3
81,0
81,6
81,8
82,3
82,4
83,10
83,14
84,10
86,3
86,13
86,11
87,0
87,1
87,10
88,0
88,10
88,18
89,3
89,13
90,5
90,1
90,3
91,0
91,12
91,8
92,3
92,10
92,11
93,1
93,16
93,8
94,3
94,10
95,0
95,9
95,10
96,3
97,17
97,20
98,0
98,1
98,2
99,2
99,16
99,7
103,0
103,12
103,10
104,3
104,12
104,10
105,1
105,10
105,4
106,3
106,10
106,14
107,16
107,6
107,8
108,3
109,10
109,4
111,3
111,4
111,2
112,0
112,6
113,3
114,9
114,10
114,18
115,12
115,10
115,13
116,3
116,2
116,13
117,10
117,13
117,11
118,1
118,3
118,4
119,9
119,10
119,18
120,3
120,13
121,5
121,1
121,3
122,9
122,12
122,10
123,0
123,1
123,10
125,3
125,10
125,13
128,3
128,10
129,12
129,10
129,15
134,17
134,3
134,14
135,3
135,10
135,13
136,3
136,10
136,13
137,3
137,4
137,13
139,3
139,12
139,2
141,10
141,2
141,11
143,1
143,3
143,10
144,1
144,3
144,14
145,1
145,3
145,4
146,10
146,13
150,5
150,1
150,3
151,3
151,10
151,13
153,10
153,8
154,3
155,16
155,7
155,8
157,3
157,10
158,0
158,12
158,10
159,0
159,10
159,18
160,3
161,10
161,7
161,8
162,3
163,10
164,5
164,12
164,10
165,10
165,13
166,3
166,10
166,2
167,3
167,12
168,3
170,3
170,12
171,3
171,10
171,13
173,3
173,10
173,13
174,17
175,9
175,10
175,13
176,12
176,10
177,10
177,13
177,11
178,10
179,3
179,10
179,13
180,10
181,10
181,13
183,12
183,10
183,2
184,0
184,12
184,10
187,12
187,10
187,22
188,3
188,10
188,14
189,17
190,3
190,12
192,0
192,2
192,16
193,0
193,1
193,6
195,3
195,10
195,14
197,0
197,12
197,6
199,9
199,12
199,10
203,3
203,10
204,12
204,10
204,13
205,10
206,3
212,12
212,10
214,1
214,3
214,6
215,10
216,3
220,3
220,10
220,13
224,0
224,10
224,19
225,17
225,3
226,3
226,10
226,13
230,10
2921,3
2921,10
244,17
244,11
2020,0
2020,12
2020,8
4191,10
4191,8
258,17
263,17
264,0
264,3
264,16
265,17
267,3
267,12
267,10
1560,0
1560,7
1560,8
275,10
277,12
277,10
277,7
285,0
285,1
285,2
293,5
293,1
293,3
294,0
294,1
294,3
309,3
309,13
311,3
311,4
311,11
324,5
324,0
324,1
330,3
330,14
330,13
331,3
331,4
331,2
339,3
339,10
339,13
344,0
344,12
344,8
349,3
349,13
359,10
359,14
369,3
369,12
369,4
371,0
371,16
371,8
379,16
379,8
388,1
388,9
388,10
447,0
447,9
447,10
463,10
467,12
467,16
467,7
468,3
468,12
468,13
469,3
469,10
471,10
473,10
473,19
475,3
475,10
476,10
477,3
478,16
478,7
478,8
479,10
479,7
479,8
480,10
480,11
481,12
481,7
481,6
482,10
482,13
483,10
483,18
483,13
484,10
484,18
484,13
485,0
485,2
485,16
486,9
486,10
486,18
487,3
487,10
487,13
488,9
488,12
488,10
489,10
489,13
490,3
491,10
491,15
491,13
492,1
492,3
492,10
495,17
496,17
496,4
498,3
498,13
499,3
499,10
500,10
500,13
502,9
502,3
503,10
505,0
505,1
505,7
506,0
506,2
506,16
509,10
510,12
510,10
510,7
512,12
512,10
514,10
515,3
515,10
516,17
518,3
518,10
518,16
519,1
519,3
519,10
520,3
520,10
520,7
523,17
523,11
524,1
524,3
524,4
526,10
526,2
526,7
527,10
527,18
530,3
530,13
531,10
531,13
532,10
532,8
533,12
533,10
533,8
535,0
535,1
535,9
536,17
536,3
538,9
538,12
538,10
539,10
539,14
540,3
540,10
540,11
542,3
542,16
