,movie_id,title,movie_rating,release_date,runtime,metascore,imdb_rating,budget,boxoffice,buzz
146,158.0,The Painted Veil,PG-13,2007-01-19,125.0,69.0,7.5,3000000,11718595,3
150,162.0,Doogal,G,2006-02-24,78.0,23.0,2.9,14000000,11242801,2
151,163.0,A Good Year,PG-13,2006-11-10,117.0,47.0,7.0,4000000,10525717,6
153,165.0,All the King's Men,PG-13,2006-09-22,128.0,37.0,6.2,100000,10178331,5
154,166.0,Phat Girlz,PG-13,2006-04-07,99.0,36.0,3.3,35000000,10144010,4
155,167.0,Turistas,R,2006-12-01,93.0,36.0,5.4,1000000,9015303,3
157,169.0,Running with Scissors,R,2006-10-27,116.0,52.0,6.1,15000000,8117637,7
158,170.0,Running Scared,R,2006-02-24,122.0,41.0,7.3,19400000,8060487,4
159,171.0,Man cheng jin dai huang jin jia,R,2007-01-12,114.0,70.0,7.0,4000000,7836393,4
160,172.0,Grandma's Boy,R,2006-01-06,94.0,33.0,7.0,15250000,7802450,4
161,173.0,Basic Instinct 2,R,2006-03-31,114.0,26.0,4.4,15000000,501752,3
162,174.0,For Your Consideration,PG-13,2006-11-22,86.0,68.0,6.3,20000000,7578946,4
163,175.0,Water,PG-13,2006-05-26,117.0,77.0,7.7,35000000,7459300,51
164,176.0,A Scanner Darkly,R,2006-07-28,100.0,73.0,7.1,17000000,7314027,12
165,177.0,Little Children,R,2007-02-09,137.0,75.0,7.5,55000000,7221458,15
166,178.0,La science des rêves,R,2006-09-29,105.0,70.0,7.3,3000000,7061128,15
167,179.0,Let's Go to Prison,R,2006-11-17,84.0,27.0,6.0,10000000,7027762,3
168,180.0,Keeping Up with the Steins,PG-13,2006-06-02,90.0,57.0,5.4,5600000,7009668,3
170,182.0,Trailer Park Boys: The Movie,R,2006-10-06,95.0,38.0,7.2,17000000,6855137,4
171,183.0,Venus,R,2007-02-16,95.0,82.0,7.1,45000000,6566773,20
173,185.0,Art School Confidential,R,2006-05-12,102.0,54.0,6.3,70000000,5946136,5
174,187.0,Wordplay,PG,2006-07-21,94.0,73.0,7.4,12000000,5549923,7
175,188.0,Miss Potter,PG,2007-03-09,88.0,57.0,7.0,3000000,5529144,13
176,189.0,Tsotsi,R,2006-03-31,94.0,70.0,7.2,20000000,5501616,6
177,190.0,Peaceful Warrior,PG-13,2006-06-23,120.0,40.0,7.3,14000000,5463019,6
178,191.0,La mujer de mi hermano,R,2006-04-21,89.0,41.0,6.1,6000000,4670644,5
179,192.0,The History Boys,R,2006-12-22,109.0,74.0,6.8,4000000,4630045,13
180,193.0,Half Nelson,R,2006-09-22,106.0,85.0,7.2,5000000,4339241,11
181,195.0,The Lost City,R,2006-05-26,144.0,47.0,6.6,14000000,4299773,14
183,199.0,Perfume: The Story of a Murderer,R,2007-01-05,147.0,56.0,7.5,6000000,3347411,12
184,203.0,Brick,R,2006-04-14,110.0,72.0,7.2,2000000,3337931,16
187,206.0,The Proposition,R,2006-06-09,104.0,73.0,7.3,500000,3121270,17
188,209.0,Kinky Boots,PG-13,2006-05-26,107.0,57.0,7.1,30000000,3005605,21
189,212.0,Who Killed the Electric Car?,PG,2006-08-04,92.0,70.0,7.6,3000000,2912606,21
190,213.0,Keeping Mum,R,2006-10-06,99.0,53.0,6.8,10000000,2893666,21
192,215.0,Nochnoy dozor,R,2006-03-03,114.0,58.0,6.4,3700000,2730296,8
193,216.0,Krrish,Not Rated,2006-06-23,154.0,68.0,6.4,700000,2697938,9
195,222.0,Shut Up and Sing,R,2009-11-13,96.0,39.0,5.7,9600000,2484186,1
197,224.0,Banlieue 13,R,2006-06-02,84.0,70.0,7.1,25000000,2405420,4
199,226.0,Infamous,R,2006-10-13,110.0,68.0,7.1,63700000,2223293,15
203,231.0,Fast Food Nation,R,2007-05-04,116.0,64.0,6.3,450000,2075743,6
204,232.0,Breaking and Entering,R,2006-11-10,120.0,56.0,6.5,2000000,2072645,6
205,234.0,Vers le sud,Unrated,2006-01-25,108.0,73.0,6.4,2000000,1985292,6
206,235.0,Looking for Comedy in the Muslim World,PG-13,2006-01-20,98.0,53.0,5.4,20000000,1903434,6
212,253.0,A Guide to Recognizing Your Saints,R,2006-10-13,100.0,67.0,7.0,1000000,1678874,1
214,258.0,Idiocracy,R,2007-01-25,84.0,66.0,6.6,9000000,1530535,8
215,260.0,The Second Chance,PG-13,2006-02-17,102.0,52.0,6.6,4200000,1502188,10
216,261.0,When Do We Eat?,R,2006-04-07,86.0,37.0,5.9,10000000,1430721,10
220,265.0,Conversations with Other Women,R,2007-05-18,84.0,62.0,7.0,32000000,1308696,32
224,275.0,Indigènes,R,2006-09-27,120.0,82.0,7.0,15000000,1200216,6
225,276.0,Steve Harvey: Don't Trip... He Ain't Through with Me Yet,PG,2006-03-17,90.0,59.0,6.4,13000000,1173673,1
226,277.0,Adam,PG-13,2009-08-28,99.0,56.0,7.2,13000000,1151330,49
230,285.0,Old Joy,Unrated,2007-01-26,76.0,84.0,6.8,950000,1024640,7
244,325.0,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,PG-13,2006-07-07,97.0,67.0,7.3,30000000,669625,3
258,359.0,51 Birch Street,Unrated,2006-10-18,90.0,77.0,7.2,2400000,444093,7
263,374.0,Absolute Wilson,Unrated,2006-10-12,105.0,69.0,7.1,5000000,418689,6
264,379.0,Feast,R,2007-01-18,95.0,43.0,6.3,900000,381420,13
265,386.0,Plagues and Pleasures on the Salton Sea,Not Rated,2006-02-24,74.0,72.0,7.3,450000,379418,13
267,390.0,Mini's First Time,R,2006-07-14,91.0,45.0,5.8,11000000,355968,5
275,435.0,American Gun,R,2007-12-26,95.0,48.0,6.1,18900000,320700,11
277,447.0,The Dead Girl,R,2007-04-26,85.0,65.0,6.6,3200000,2283291,15
285,470.0,Pirates of the Caribbean: At World's End,PG-13,2007-05-25,169.0,50.0,7.1,300000,255923,18
293,478.0,The Simpsons Movie,PG-13,2007-07-27,87.0,80.0,7.3,4700000,239962,4
294,479.0,Wild Hogs,PG-13,2007-03-02,100.0,27.0,5.8,7000000,234750,4
309,494.0,Norbit,PG-13,2007-02-09,102.0,27.0,4.1,2000000,199176,3
311,496.0,The Game Plan,PG,2007-09-28,110.0,44.0,6.1,15000,194523,3
324,510.0,TMNT,PG,2007-03-23,103.0,41.0,6.2,1600000,145382,7
330,516.0,Music and Lyrics,PG-13,2007-02-14,104.0,59.0,6.5,35000000,289773,5
331,517.0,Are We Done Yet?,PG,2007-04-04,92.0,36.0,4.3,10000000,131719,3
339,526.0,No Reservations,PG,2007-07-27,104.0,50.0,6.3,6000000,119452,4
344,532.0,Hitman,R,2007-11-21,100.0,35.0,6.3,3500000,107492,5
349,537.0,The Heartbreak Kid,R,2007-10-05,116.0,46.0,5.8,30000,103509,3
359,548.0,August Rush,PG,2007-11-21,114.0,38.0,7.5,350000,84689,3
369,558.0,Nancy Drew,PG,2007-06-15,99.0,53.0,5.9,18000000,70644,4
371,560.0,Grindhouse,R,2007-04-06,191.0,77.0,7.5,150000000,82280579,4
379,569.0,The Hills Have Eyes II,R,2007-03-23,89.0,32.0,5.1,3200000,56131,2
388,578.0,Into the Wild,R,2007-10-19,148.0,73.0,8.1,1500000,27854931,6
447,641.0,Rescue Dawn,PG-13,2007-07-27,120.0,77.0,7.3,3300000,19875,4
463,660.0,Things We Lost in the Fire,R,2007-10-19,118.0,63.0,7.2,9000000,14443,1
467,666.0,Captivity,R,2007-07-13,96.0,24.0,4.6,258000000,336530303,7
468,667.0,You Kill Me,R,2007-07-13,93.0,64.0,6.5,160000000,322719944,9
469,668.0,La doublure,PG-13,2007-06-01,85.0,68.0,6.6,151000000,319246193,9
471,670.0,Guru,Not Rated,2007-01-12,166.0,70.0,7.7,150000000,292137260,4
473,672.0,The Wind that Shakes the Barley,Not Rated,2007-03-23,127.0,82.0,7.5,130000000,227471070,17
475,674.0,Year of the Dog,PG-13,2007-05-11,97.0,70.0,6.0,55000000,217326974,11
476,675.0,Efter brylluppet,R,2007-05-11,120.0,78.0,7.7,60000000,210614939,11
477,678.0,Mon meilleur ami,PG-13,2007-08-03,90.0,65.0,6.7,150000000,206445654,11
478,680.0,The Abandoned,R,2007-02-23,99.0,42.0,5.5,72500000,183135014,4
479,681.0,Slow Burn,R,2007-04-13,93.0,34.0,5.7,60000000,168213584,1
480,684.0,The Final Season,PG,2007-10-12,119.0,43.0,6.6,27500000,148761765,2
481,685.0,In the Shadow of the Moon,TV-MA,2019-09-27,115.0,48.0,6.2,7000000,143495265,1
482,686.0,Silk,R,2007-09-21,107.0,39.0,5.9,180000000,140125968,28
483,688.0,September Dawn,R,2007-08-24,111.0,25.0,5.8,110000000,134529403,1
484,689.0,Nuovomondo,PG-13,2006-09-22,118.0,74.0,6.9,100000000,130164645,1
485,692.0,Skinwalkers,R,2007-08-10,110.0,33.0,4.6,85000000,127706877,3
486,694.0,Goya's Ghosts,R,2006-11-10,113.0,52.0,6.9,150000000,126631277,3
