genre_id,genre_name
257,"Documentary, Sport"
258,"Adventure, Comedy, Sci-Fi"
260,Drama
261,Comedy
262,"Adventure, Drama"
263,"Comedy, Drama, Romance"
264,"Crime, Drama, Thriller"
265,"Comedy, Drama, Romance"
266,"Action, Crime, Drama"
267,"Biography, Drama, Music"
269,"Documentary, Biography, Music"
275,"Action, Drama, War"
276,"Documentary, Comedy"
277,"Comedy, Drama, Romance"
278,Documentary
282,"Biography, Drama, History"
283,"Documentary, History, Music"
285,Drama
289,"Drama, Music"
293,"Comedy, Drama"
294,"Comedy, Drama"
295,Fantasy
296,"Comedy, Music, Romance"
299,"Biography, Drama, Romance"
301,"Comedy, Drama"
305,"Drama, Fantasy, Horror"
309,Drama
311,"Comedy, Drama, Romance"
315,"Comedy, Drama"
322,Drama
324,"Crime, Drama, Mystery"
325,"Documentary, Sport"
330,"Action, Crime, Thriller"
331,"Drama, Thriller"
334,"Comedy, Drama, Music"
336,Romance
337,"Crime, Drama, Thriller"
338,"Drama, Romance"
339,"Drama, Romance"
341,"Documentary, War"
344,"Comedy, Drama"
349,Comedy
351,Drama
353,"Action, Drama, History"
358,Drama
359,Documentary
366,"Comedy, Drama"
369,"Animation, Action, Sci-Fi"
371,"Animation, Action, Adventure"
373,"Drama, Fantasy, Horror"
374,Documentary
379,"Action, Comedy, Horror"
386,Documentary
388,Drama
390,"Comedy, Crime, Drama"
394,"Crime, Drama, Horror"
395,"Drama, Romance"
396,"Drama, Music"
403,"Comedy, Romance"
405,Drama
412,"Comedy, Drama"
430,"Documentary, Biography"
435,Drama
446,"Documentary, War"
447,"Crime, Drama, Mystery"
454,Documentary
463,"Drama, Family"
465,"Crime, Drama, Romance"
466,Documentary
467,"Action, Adventure, Sci-Fi"
468,"Animation, Adventure, Comedy"
469,"Action, Adventure, Sci-Fi"
470,"Action, Adventure, Fantasy"
471,"Action, Adventure, Family"
472,"Action, Adventure, Drama"
473,"Action, Adventure, Mystery"
474,"Action, Adventure, Mystery"
475,"Animation, Adventure, Comedy"
476,"Action, Drama"
477,"Animation, Adventure, Comedy"
478,"Animation, Adventure, Comedy"
479,"Action, Adventure, Comedy"
480,"Comedy, Romance"
481,"Comedy, Drama"
482,"Action, Comedy, Crime"
483,"Action, Thriller"
484,"Biography, Crime, Drama"
485,"Animation, Adventure, Comedy"
486,"Animation, Adventure, Comedy"
487,Comedy
488,"Comedy, Drama, Musical"
489,"Comedy, Sport"
490,"Crime, Thriller"
491,"Action, Fantasy, Thriller"
492,"Comedy, Family, Fantasy"
493,"Animation, Adventure, Comedy"
494,"Comedy, Romance"
495,"Adventure, Comedy, Drama"
496,"Comedy, Family, Sport"
497,"Animation, Action, Adventure"
498,"Drama, Family, Fantasy"
499,"Crime, Drama, Mystery"
500,"Crime, Drama, Thriller"
501,"Comedy, Family, Fantasy"
502,"Fantasy, Horror, Mystery"
503,"Adventure, Family, Fantasy"
504,"Biography, Comedy, Drama"
505,"Crime, Horror, Mystery"
506,"Drama, Music, Romance"
507,"Animation, Adventure, Comedy"
509,"Comedy, Drama"
510,"Animation, Action, Adventure"
511,"Comedy, Drama, Romance"
512,"Action, Crime, Drama"
513,"Drama, Horror, Musical"
514,"Drama, Mystery, Romance"
515,"Action, Horror, Sci-Fi"
516,"Comedy, Music, Romance"
517,"Comedy, Family, Fantasy"
518,"Comedy, Drama, Romance"
519,"Crime, Drama, Mystery"
520,"Drama, Fantasy, Mystery"
521,"Comedy, Drama, Romance"
523,"Action, Drama, Thriller"
524,"Comedy, Romance"
525,"Action, Adventure, Comedy"
526,"Comedy, Drama, Romance"
527,"Comedy, Romance"
528,"Action, Horror, Sci-Fi"
530,Drama
531,"Adventure, Comedy, Fantasy"
532,"Action, Crime, Thriller"
533,"Action, Horror, Thriller"
534,"Crime, Drama, Thriller"
535,"Adventure, Family, Fantasy"
536,"Action, Crime, Drama"
537,"Comedy, Romance"
538,"Biography, Crime, Drama"
539,"Action, Comedy, Crime"
540,"Drama, Horror, Thriller"
542,"Comedy, Romance"
543,"Comedy, Family"
544,"Crime, Drama, Mystery"
545,"Biography, Crime, Drama"
546,"Comedy, Crime, Sport"
547,"Comedy, Family, Fantasy"
548,"Drama, Music"
549,"Drama, Romance"
550,"Biography, Drama, Romance"
551,"Horror, Sci-Fi"
552,"Action, Crime, Drama"
553,"Crime, Drama, Thriller"
554,"Action, Adventure, Crime"
555,"Comedy, Drama, Romance"
556,"Comedy, Romance, Sport"
557,"Horror, Sci-Fi, Thriller"
558,"Comedy, Crime, Family"
559,"Horror, Thriller"
560,"Action, Horror, Thriller"
561,"Documentary, Drama"
562,"Drama, Fantasy, History"
563,"Crime, Mystery, Thriller"
565,"Action, Comedy, Mystery"
566,"Action, Crime, Thriller"
567,"Action, Adventure, Drama"
568,"Biography, Drama, History"
569,"Horror, Thriller"
570,"Crime, Drama, Fantasy"
571,"Comedy, Crime"
572,"Crime, Drama, Mystery"
573,Drama
574,"Comedy, Drama, Romance"
575,"Horror, Thriller"
576,"Comedy, Drama"
577,"Biography, Drama, Romance"
578,"Adventure, Biography, Drama"
579,"Comedy, Music"
580,"Action, Sci-Fi, Thriller"
581,Horror
582,"Action, Crime, Drama"
